amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,signature-confirmation-recommended
112-2574073-2853854,112-2574073-2853854,2023-03-15T18:59:39+00:00,2023-03-24T13:39:16+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,,,,,,,,BRADENTON,FL,34205-8817,US,,FALSE,,,FALSE
113-7396197-5505844,113-7396197-5505844,2023-03-15T14:03:20+00:00,2023-03-16T03:33:44+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Expedited,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More",1055557203,B0BQZBPS4G,Shipped,1,USD,70,,,,,,,,BESSEMER,AL,35022-5497,US,,FALSE,,,FALSE
113-1892514-8954640,113-1892514-8954640,2023-03-15T13:31:30+00:00,2023-03-15T23:25:06+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Standard,"Vital Proteins Collagen Peptides Powder, Promotes Hair, Nail, Skin, Bone and Joint Health, Lemon 11 Ounce",1055675480,B0B3Q1HNQ5,Shipped,1,USD,31.97,,,,,,,,OAK CREEK,WI,53154-4925,US,,FALSE,,,FALSE
113-6247700-1693862,113-6247700-1693862,2023-03-15T07:00:52+00:00,2023-03-20T16:52:43+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Standard,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More",1055557203,B0BQZBPS4G,Shipped,1,USD,70,,,,,,,,BESSEMER,AL,35022-5497,US,,FALSE,,,FALSE
113-0190687-9815431,113-0190687-9815431,2023-03-15T01:34:22+00:00,2023-03-21T16:30:09+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,,,,,,,,Whitehall,NY,12887,US,,FALSE,,,FALSE
113-2372820-8752250,113-2372820-8752250,2023-03-15T01:33:11+00:00,2023-03-15T08:53:15+00:00,Cancelled,Amazon,Amazon.com,,,Standard,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Cancelled,0,,,,,,,,,,WAIKOLOA,HI,96738-5409,US,,FALSE,,,FALSE
111-4602929-1687452,111-4602929-1687452,2023-03-14T18:56:56+00:00,2023-03-16T20:28:00+00:00,Cancelled,Amazon,Amazon.com,,,Expedited,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Cancelled,0,,,,,,,,,,NASHVILLE,TN,37204-2732,US,,FALSE,,,FALSE
112-0151149-4234648,112-0151149-4234648,2023-03-13T21:50:04+00:00,2023-03-19T17:17:43+00:00,Cancelled,Amazon,Amazon.com,,,Standard,"Vital Proteins Beauty Collagen Peptides Powder Supplement for Women, 120mg of Hyaluronic Acid - 15g of Collagen Per Serving - Enhance Skin Elasticity",1055865813,B07B6B14NS,Cancelled,0,,,,,,,,,,Gatineau,Quebec,J9A0J1,CA,,FALSE,,,FALSE
111-5314583-9781822,111-5314583-9781822,2023-03-13T17:59:28+00:00,2023-03-13T18:01:25+00:00,Cancelled,Amazon,Amazon.com,,,Standard,"Vital Proteins Beauty Collagen Peptides Powder Supplement for Women, 120mg of Hyaluronic Acid - 15g of Collagen Per Serving - Enhance Skin Elasticity",1055865813,B07B6B14NS,Cancelled,0,,,,,,,,,,Quezon City,Metro Manila,1115,PH,,FALSE,,,FALSE
113-4159830-3655400,113-4159830-3655400,2023-03-13T17:17:43+00:00,2023-03-15T08:41:19+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Beauty Collagen Peptides Powder Supplement for Women, 120mg of Hyaluronic Acid - 15g of Collagen Per Serving - Enhance Skin Elasticity",1055865813,B07B6B14NS,Shipped,1,USD,25,,,,,,,,SUNNYSIDE,New York,11104,US,,FALSE,,,FALSE
